parameter_no,no1,no2,no3,no4,no5
000,1,3,4,2,5
001,1,2,5,-,-
002,2,5,-,-,-
003,2,-,-,-,-
004,1,2,5,-,-
005,2,5,-,-,-
006,5,-,-,-,-
007,2,5,-,-,-
008,2,5,-,-,-
009,2,5,-,-,-
010,2,5,-,-,-
011,1,2,5,-,-
012,1,2,5,-,-
013,1,3,4,2,5
014,1,4,2,5,-
015,2,5,-,-,-
016,2,5,-,-,-
017,2,5,-,-,-
018,2,5,-,-,-
019,5,-,-,-,-
020,2,5,-,-,-
021,2,5,-,-,-
022,2,5,-,-,-
023,1,4,2,5,-
024,2,5,-,-,-
025,2,-,-,-,-
026,2,5,-,-,-
027,1,2,5,-,-
028,1,2,5,-,-
029,2,5,-,-,-
030,2,5,-,-,-
031,-,-,-,-,-
032,-,-,-,-,-
033,2,5,-,-,-
034,1,2,5,-,-
035,2,5,-,-,-
036,2,-,-,-,-
037,2,5,-,-,-
038,2,5,-,-,-
039,2,5,-,-,-
040,1,2,5,-,-
041,-,-,-,-,-
042,2,5,-,-,-
043,2,5,-,-,-
044,2,5,-,-,-
045,2,5,-,-,-
046,2,5,-,-,-
047,2,5,-,-,-
048,5,-,-,-,-
049,5,-,-,-,-
050,5,-,-,-,-
051,5,-,-,-,-
052,5,-,-,-,-
053,3,5,-,-,-
054,5,-,-,-,-
055,5,-,-,-,-
056,5,-,-,-,-
057,5,-,-,-,-
058,4,5,-,-,-
059,-,-,-,-,-
060,5,-,-,-,-
061,5,-,-,-,-
062,3,5,-,-,-
063,-,-,-,-,-
064,5,-,-,-,-
065,5,-,-,-,-
066,5,-,-,-,-
067,3,5,-,-,-
068,-,-,-,-,-
069,5,-,-,-,-
070,-,-,-,-,-
071,5,-,-,-,-
072,-,-,-,-,-
073,5,-,-,-,-
074,3,5,-,-,-
075,2,5,-,-,-
076,-,-,-,-,-
077,2,5,-,-,-
078,2,5,-,-,-
079,2,5,-,-,-
080,-,-,-,-,-
081,2,5,-,-,-
082,2,-,-,-,-
083,2,5,-,-,-
084,2,5,-,-,-
085,1,5,-,-,-
086,1,5,-,-,-
087,1,5,-,-,-
