項目,目的・注意事項,ディオクリニック,エミナルクリニック,ウララクリニック,リエートクリニック,湘南美容クリニック
クリニック名,正式名称を使用,ディオクリニック,エミナルクリニック,ウララクリニック,リエートクリニック,湘南美容クリニック
クリニックコード,英字3-5文字の略称,dio,eminal,urara,lieto,sbc
総合評価,比較表の総合評価スコア,4.9,4.6,4.5,4.3,4.7
クリニックロゴ画像パス,各クリニックのロゴ画像パス,/images/clinics/dio/dio-logo.webp,/images/clinics/eminal/eminal-logo.webp,/images/clinics/urara/urara-logo.webp,/images/clinics/lieto/lieto-logo.webp,/images/clinics/sbc/sbc-logo.webp
ランキングプッシュメッセージ,ランキングカード内の短い訴求文,2025年のイチ押し！<br>業界屈指のコスパ,次世代医療！<br>成功率94%の実績,厚労省承認マシン<br>科学的に脂肪を減らす,多店舗展開<br>エミナル,大手美容クリニック<br>メニュー豊富
実績,比較表の実績欄,ダイエット成功率99％<br>平均13.7kg減,全国60院以上<br>モニター実績多数,ダイエット成功率94%,ダイエット成功率94%,症例数No.1<br>全国200院以上
特典,比較表の特典欄,今なら<br>12ヶ月分0円！,モニター価格<br>最大70%OFF,今なら<br>最大79%OFF！,最大80%OFF<br>（モニター割引）,新規限定<br>特別価格
人気プラン,比較表の人気プラン,脂肪冷却,脂肪冷却,脂肪冷却,脂肪冷却,脂肪冷却
医療機器,比較表の医療機器一覧,脂肪冷却<br>医療用EMS<br>医療ハイフ<br>医療ラジオ波,脂肪冷却<br>医療用EMS<br>ハイフ,脂肪冷却装置<br>医療用EMS<br>医療電磁場装置<br>医療ラジオ波,脂肪冷却<br>医療用EMS<br>医療ハイフ,脂肪冷却<br>医療用EMS<br>医療ハイフ<br>ラジオ波
注射治療,比較表の注射治療一覧,脂肪溶解注射<br>サンサム注射<br>ダイエット点滴<br>GLP-1<br>サクセンダ,脂肪溶解注射<br>ダイエット点滴<br>GLP-1,脂肪溶解注射<br>ダイエット点滴<br>GLP-1<br>オルリスタット<br>ビグアナイド系薬剤,脂肪溶解注射<br>ダイエット美容点滴<br>エクソソーム点滴,脂肪溶解注射<br>GLP-1<br>ダイエット点滴
食事指導,比較表の食事指導,栄養管理士<br>による指導,管理栄養士<br>サポート,管理栄養士<br>による指導,医師監修のもと<br>管理栄養士の指導,栄養指導<br>プログラム
モニター割,比較表のモニター割引,あり<br>75％OFF,あり<br>最大70%OFF,あり<br>最大79%OFF,あり<br>最大80%OFF,あり<br>条件により異なる
返金保証,比較表の返金保証,痩せなかったら返金,あり（※条件付き）,痩せなかったら返金,あり（※条件付き）,一部施術で返金保証あり
詳細タイトル,案件詳細セクションのh3タイトル,99%が実感した医療痩せ！,医療の力で本気のボディメイク,次世代医療！,最新技術で安心痩身,医療の力で楽して痩せる
詳細サブタイトル,案件詳細セクションのpタグ,我慢・失敗・リバウンド防止,医療と食事指導で理想の姿へ,成功率94%の実績,個人に合わせたオーダーメイド施術,豊富なメニューで最適な痩身治療
詳細バナー画像パス,各クリニックの詳細バナー画像,/images/clinics/dio/dio_detail_bnr.webp,/images/clinics/eminal/eminal_detail_bnr.webp,/images/clinics/urara/urara_detail_bnr.webp,/images/clinics/lieto/lieto_detail_bnr.webp,/images/clinics/sbc/sbc_detail_bnr.webp
特徴タグ,案件詳細セクションの特徴タグ,# 医療ダイエット<br># 医療痩身<br># リバウンド防止<br># 医師監修<br># 栄養士指導<br># 切らない痩身<br># 19時以降OK<br># 駅チカ<br># 完全個室,# メディカルダイエット<br># ボディメイク<br># 痩身<br># 部分痩せ<br># リバウンド防止<br># 医療ハイフ<br># 脂肪冷却<br># エミナルクリニック<br># 全国展開,# 医療ダイエット<br># 医療痩身<br># 美痩身<br># リバウンド防止<br># 医師監修<br># 管理栄養士指導<br># 切らない痩身<br># 駅チカ<br># 健康的に美しく,# 医療ダイエット<br># 医療痩身<br># リバウンド防止<br># 医師監修<br># 管理栄養士指導<br># 切らない痩身<br># オーダーメイド治療<br># 駅チカ<br># 完全個室,# 医療ダイエット<br># 部分痩せ<br># クールスカルプティング<br># 脂肪溶解注射<br># GLP1<br># サクセンダ<br># リバウンド防止<br># 食事指導<br># 湘南美容クリニック
